pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
BUVzsLLLG7GWoyJVoU31pXiBveazA6GXTavZ9VD3CwS9,"STONK / KNOTS",raydium,stonk-3,knots,knots,21123769,below,min_cap_of_two:cg_mcap,2045178,28574628
G4G5SzkbLFMhoSgHiQNeyJFt75sSDsL1rD8LVyT5xZbU,"STONK / USDC",raydium-clmm,stonk-3,usd-coin,stonk-3,215957377,above,single_subject:cg_mcap,2022726,17597925
36SpkkrsnyUgjPC24KU993r8T3whkJaPgoEeAmbBj9uB,"STONK / USDC",meteora,stonk-3,usd-coin,stonk-3,215957377,above,single_subject:cg_mcap,1572465,2949105
48M3tRdbVYmEbf5rCTFVAgqCCaZdChVmeg3VPBrmgT8m,"STONK / SOL",meteora,stonk-3,wrapped-solana,stonk-3,215957377,above,single_subject:cg_mcap,1200572,114466070
DU9dgBU6Yh2JjsYcjtRY21G14dhQxn6Xm5PT949Sa4tA,"STRCx / USDC",raydium-clmm,strategy-pp-variable-xstock,usd-coin,strategy-pp-variable-xstock,154462396,above,single_subject:cg_mcap,359976,6146627
9jP2H9FbqkYQtKYkehsq3XcGn36FFb15cCo96EBu339s,"STRCx / DIVI",raydium,strategy-pp-variable-xstock,,DIVI,5480287,below,min_cap_of_two:gt_fdv,171766,2043587
GSc6ipypcnceSSrKudFEp9zRaTqqRQGoB8wxU1QLDzNZ,"STRCx / haMSTR",raydium,strategy-pp-variable-xstock,,haMSTR,28101,below,min_cap_of_two:gt_fdv,40424,2340877
Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,"USELESS / SOL",raydium,useless-3,wrapped-solana,useless-3,216995416,above,single_subject:cg_mcap,3584244,144353260
ELp3rjbAncW8FLAPvmWS6vjG4FXFLDo1HiKh4PhQBgvx,"USELESS / USDC",humidifi,useless-3,usd-coin,useless-3,216995416,above,single_subject:cg_mcap,1979863,13991819
8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,"USELESS / SOL",meteora,useless-3,wrapped-solana,useless-3,216995416,above,single_subject:cg_mcap,1865165,125027328
HsQGWEh3ib6w59rBh5n1jXmi8VXFBqKEjxozL6PGfcgb,"USELESS / SOL",orca,useless-3,wrapped-solana,useless-3,216995416,above,single_subject:cg_mcap,1169138,41616723
FZuTAARDYJapX7HqniQEzzDboNY8RT4FXCrakVFJap2R,"USEFUL / USELESS",raydium-clmm,,useless-3,USEFUL,1442866,below,min_cap_of_two:gt_fdv,964850,16376521
Dnm84Poh7aZebvKf4rUe7aGUwU2EqT3vwhXWzJJCBD2h,"uniPCs / USELESS",raydium,,useless-3,uniPCs,7803,below,min_cap_of_two:gt_fdv,292530,0
9Ux4vtd8juEH4NMF4ae3tXYpKBdeCUUipX8z3EficKme,"USELESS / USDC",meteora,useless-3,usd-coin,useless-3,216995416,above,single_subject:cg_mcap,69286,21138536
8bCaqhnpeeVXXbx7oHyytsWecpHoiXhqeRBEdMEwEu7n,"USELESS / USDC",meteora,useless-3,usd-coin,useless-3,216995416,above,single_subject:cg_mcap,33174,1392255
